event_name	diff	MostExtremeDiff	MostExtremeBF
gene:ENSG00000128309	0.07,-0.03,0.01,0.08,-0.11,0.01,-0.04	0.11	0.6
gene:ENSG00000128342	0.05	0.05	0.6
gene:ENSG00000100100	-0.00,0.02,-0.03,0.01	0.03	0.59
gene:ENSG00000100162	-0.04,-0.04,0.03,-0.13,0.10,0.08	0.13	0.59
gene:ENSG00000170638	0.02,-0.10,0.13,-0.05	0.13	0.59
gene:ENSG00000182858	0.13,-0.02,-0.11	0.13	0.57
gene:ENSG00000185022	-0.01,0.01,-0.03,0.02,0.01,-0.03,0.03	0.03	0.57
gene:ENSG00000075234	-0.01,-0.12,0.02,-0.00,0.14,-0.04	0.14	0.56
gene:ENSG00000100030	0.01,-0.13,0.12	0.13	0.56
gene:ENSG00000100335	-0.01,-0.08,0.11,-0.03,-0.01,0.01	0.11	0.56
gene:ENSG00000093010	0.07,-0.02,-0.06,-0.04,0.13,-0.02,-0.05,0.01,-0.02	0.13	0.55
gene:ENSG00000100075	-0.09	0.09	0.55
gene:ENSG00000100372	0.03,-0.06,0.05,0.02,-0.13,0.02,-0.04,0.00,0.02,0.00,0.01,0.01,0.04,0.02,0.01	0.13	0.55
gene:ENSG00000100014	-0.04,0.10,0.02,-0.09,0.00	0.1	0.54
gene:ENSG00000128191	0.07,-0.01,-0.02,-0.04	0.07	0.53
gene:ENSG00000183579	0.10,-0.04,-0.06	0.1	0.53
gene:ENSG00000196588	0.11,0.00,0.02,0.04,-0.01,-0.03,0.02,-0.07,-0.02,-0.05	0.11	0.53
gene:ENSG00000100284	0.01,0.01,0.02,0.09,0.01,-0.04,-0.05,0.00,0.00,-0.02,-0.01,-0.01,-0.03,0.01	0.09	0.51
gene:ENSG00000100429	-0.01,0.05,0.02,0.03,0.04,-0.01,-0.12	0.12	0.51
gene:ENSG00000185386	-0.08,0.06,0.02	0.08	0.51
gene:ENSG00000099949	0.03,0.03,-0.12,0.01,-0.00,0.05,-0.01,-0.02,0.01,-0.01,0.01,0.02	0.12	0.5
gene:ENSG00000100147	0.05	0.05	0.5
gene:ENSG00000100219	0.13,-0.03,-0.01,-0.07,-0.02	0.13	0.5
gene:ENSG00000100416	0.03,0.03,-0.10,-0.05,-0.04,0.02,-0.08,0.02,-0.00,0.02,0.12,0.05,-0.01	0.12	0.5
gene:ENSG00000133422	-0.08,-0.02,0.07,0.04	0.08	0.5
gene:ENSG00000159496	0.04,-0.03,0.04,-0.01,0.05,-0.06,-0.02	0.06	0.49
gene:ENSG00000186654	0.12,-0.03,-0.03,-0.10,-0.07,0.00,0.06,0.02,0.02,0.00,-0.01	0.12	0.49
gene:ENSG00000241484	0.08,0.03,0.03,-0.01,-0.13,-0.01,-0.00	0.13	0.49
gene:ENSG00000099999	0.01,-0.01,-0.02,-0.00,0.01,0.06,-0.08,0.04	0.08	0.47
gene:ENSG00000100092	-0.03,0.09,0.03,0.00,-0.09	0.09	0.47
gene:ENSG00000100109	-0.06,-0.09,0.09,0.07,0.03,-0.01,-0.01,-0.00,-0.02,0.01	0.09	0.47
gene:ENSG00000100307	-0.10,0.01,0.09	0.1	0.47
gene:ENSG00000184076	0.09	0.09	0.47
gene:ENSG00000099899	-0.01,-0.05,0.01,-0.04,0.05,0.03,0.02	0.05	0.46
gene:ENSG00000138867	-0.12,0.12,-0.02,-0.00,-0.00,-0.02,0.02,0.02	0.12	0.46
gene:ENSG00000241973	0.06,0.05,-0.10	0.1	0.46
gene:ENSG00000100154	-0.02,-0.02,0.10,-0.06	0.1	0.45
gene:ENSG00000128383	0.03,0.00,-0.03	0.03	0.45
gene:ENSG00000250479	0.05,-0.02,-0.01,-0.02	0.05	0.45
gene:ENSG00000100294	-0.05,0.08,-0.02	0.08	0.44
gene:ENSG00000100359	-0.10,0.10,0.04,-0.04	0.1	0.44
gene:ENSG00000177663	0.04	0.04	0.44
gene:ENSG00000100243	-0.02,-0.06,-0.02,0.07,-0.00,0.03	0.07	0.43
gene:ENSG00000100376	0.10,-0.03,-0.01,-0.07,0.00,0.01	0.1	0.42
gene:ENSG00000100380	-0.02,0.06,-0.03,-0.00,-0.02	0.06	0.42
gene:ENSG00000167065	0.01,-0.04,-0.00,-0.00,-0.03,0.02,0.06,-0.05,0.03	0.06	0.42
gene:ENSG00000100084	0.02,-0.05,0.03	0.05	0.41
gene:ENSG00000099910	0.04,-0.02,0.02,0.03,0.02,-0.09,-0.01	0.09	0.4
gene:ENSG00000079974	-0.04,-0.08,0.05,0.01,-0.04,0.02,-0.07,0.11,0.06,-0.00,-0.00	0.11	0.39
